DHA,ID,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Grand Total
2a,1,0,41,26,7,0,2,424,7,107,0,21,56,0,2,0,693
2a,2,0,53,39,14,4,2,431,2,128,0,16,2,0,2,0,693
2a,3,0,80,67,34,8,1,343,0,109,0,5,34,0,13,0,694
2a,4,0,37,29,7,0,0,490,0,47,0,26,59,0,2,0,697
2a,5,0,38,22,7,0,1,456,4,68,0,25,64,0,5,0,690
2a,6,0,8,0,4,0,0,482,5,150,0,19,14,0,11,0,693
2a,7,0,47,23,2,0,0,360,5,177,0,0,64,0,18,0,696
2a,8,0,72,34,2,0,0,299,0,97,0,0,130,0,63,0,697
2a,9,0,27,30,7,0,0,519,0,61,0,21,30,0,2,0,697
2a,10,0,9,6,5,0,0,574,2,30,5,26,32,0,8,0,697
2a,11,0,0,0,1,0,0,535,5,113,9,1,14,0,14,0,692
2a,12,0,0,0,0,0,0,461,5,136,0,0,65,0,29,0,696
2a,13,0,33,23,1,0,0,367,0,109,0,0,129,0,37,0,699
2a,14,0,59,35,1,0,0,399,0,11,0,0,142,0,37,13,697
2a,15,0,107,41,6,0,0,429,0,13,0,1,60,0,25,14,696
2a,16,0,153,75,56,21,0,317,0,1,0,1,12,0,43,15,694
2a,17,0,16,21,5,0,0,493,0,100,0,18,8,0,34,0,695
2a,18,0,1,2,0,0,0,562,0,65,9,1,14,0,43,0,697
2a,19,0,0,0,0,0,0,603,0,59,9,0,14,0,12,0,697
2a,20,0,0,0,0,0,0,593,0,72,11,0,9,0,14,0,699
2a,21,0,7,0,0,0,0,597,0,45,0,0,24,0,22,0,695
2a,22,0,18,5,0,0,0,586,0,16,0,0,44,0,21,6,696
2a,23,0,87,29,4,4,0,519,0,24,0,1,14,0,6,13,701
2a,24,0,118,63,61,31,22,366,0,14,5,1,8,0,4,3,696
2a,25,0,8,19,17,9,94,397,0,101,0,14,0,0,37,0,696
2a,26,0,0,0,0,0,43,520,0,89,9,0,0,0,37,0,698
2a,27,0,0,0,0,0,0,633,0,31,17,0,0,0,13,0,694
2a,28,0,0,0,0,0,0,678,0,8,12,0,0,0,0,0,698
2a,29,0,0,0,0,0,0,668,0,15,8,0,7,0,0,0,698
2a,30,0,23,3,0,0,0,631,0,32,0,0,7,0,0,0,696
2a,31,0,42,12,2,0,0,599,0,29,12,1,0,0,0,0,697
2a,32,0,72,45,33,24,29,445,0,14,21,10,2,0,0,0,695
2a,33,0,4,10,15,8,150,401,0,80,0,0,0,0,29,0,697
2a,34,0,0,0,0,0,75,536,0,54,0,0,0,0,26,0,691
2a,35,0,0,0,0,0,9,650,0,20,8,0,0,0,8,0,695
2a,36,0,0,0,0,0,0,681,0,6,8,0,0,0,0,0,695
2a,37,0,19,0,0,0,0,638,0,33,8,0,0,0,0,0,698
2a,38,0,45,4,0,0,0,605,0,40,4,0,0,0,0,0,698
2a,39,0,49,10,1,0,0,572,0,36,19,9,0,0,0,0,696
2a,40,0,46,30,8,3,4,544,0,25,22,10,2,0,0,0,694
2a,41,0,48,54,12,4,75,463,0,7,19,10,2,0,0,0,694
2a,42,0,3,0,0,0,149,466,6,68,0,0,0,0,0,0,692
2a,43,0,0,0,0,0,54,627,0,12,0,0,0,0,0,0,693
2a,44,0,7,0,0,0,0,685,0,3,0,0,0,0,0,0,695
2a,45,0,34,0,0,0,0,649,0,5,4,0,0,0,0,0,692
2a,46,0,40,0,0,0,0,628,0,24,0,0,0,0,0,0,692
2a,47,0,43,0,0,0,0,608,0,38,4,0,0,0,0,0,693
2a,48,0,59,9,1,0,0,582,0,31,8,2,0,0,0,0,692
2a,49,0,32,8,1,0,0,586,0,44,14,10,0,0,0,0,695
2a,50,0,57,42,13,2,4,526,0,36,1,10,2,0,0,0,693
2a,51,0,40,3,0,0,21,451,18,98,0,0,0,0,66,0,697
2a,52,0,33,0,0,0,0,634,13,16,0,0,0,0,0,0,696
2a,53,0,33,0,0,0,0,656,0,0,0,0,0,0,6,0,695
2a,54,0,39,0,0,0,0,638,0,5,0,0,0,0,9,0,691
2a,55,0,39,0,0,0,0,646,0,5,0,0,0,0,9,0,699
2a,56,0,37,0,0,0,0,661,0,0,0,0,0,0,0,0,698
2a,57,0,32,0,0,0,0,645,0,17,1,0,0,0,0,0,695
2a,58,0,30,1,0,0,0,577,0,86,1,0,0,0,0,0,695
2a,59,0,47,22,11,1,2,482,7,123,0,0,0,0,0,0,695
2a,60,0,60,49,36,7,2,449,3,84,5,0,0,0,0,0,695
2a,61,0,38,3,0,0,0,373,18,118,0,0,0,0,115,33,698
2a,62,0,40,0,0,0,0,554,11,18,0,0,0,0,75,0,698
2a,63,0,36,0,0,0,0,591,0,15,0,0,0,0,51,0,693
2a,64,0,30,0,0,0,0,627,0,28,0,0,0,0,15,0,700
2a,65,0,23,0,0,0,0,626,0,13,0,0,0,0,31,0,693
2a,66,0,4,0,0,0,0,649,0,0,15,0,0,0,27,0,695
2a,67,0,27,0,0,0,0,628,0,10,25,0,0,0,9,0,699
2a,68,0,33,0,0,0,0,514,5,118,24,0,0,0,0,0,694
2a,69,0,43,10,3,0,0,436,8,195,0,0,0,0,0,0,695
2a,70,0,61,53,29,8,1,302,8,231,7,0,0,0,0,0,700
2a,71,0,41,0,0,0,0,344,7,68,0,0,38,0,149,50,697
2a,72,0,21,0,0,0,0,485,0,44,0,0,0,0,140,7,697
2a,73,0,1,0,0,0,0,549,0,47,0,0,0,0,98,0,695
2a,74,0,0,0,0,0,0,612,0,46,0,0,0,0,41,0,699
2a,75,0,0,0,0,0,0,629,0,30,4,0,0,0,33,0,696
2a,76,0,0,0,0,0,0,631,0,4,31,0,0,0,27,0,693
2a,77,0,27,0,0,0,0,618,0,6,25,0,0,0,25,0,701
2a,78,0,36,0,0,0,0,530,6,98,25,0,0,0,0,0,695
2a,79,0,63,14,2,0,0,401,15,202,0,0,0,0,0,0,697
2a,80,0,96,92,24,4,1,261,8,209,5,0,0,0,0,0,700
2a,81,0,29,0,0,0,0,464,0,39,0,0,28,0,99,37,696
2a,82,0,10,0,0,0,0,514,0,34,0,0,0,0,136,2,696
2a,83,0,0,0,0,0,0,532,0,40,0,0,0,0,120,0,692
2a,84,0,0,0,0,0,0,605,0,48,0,0,0,0,43,0,696
2a,85,0,0,0,0,0,0,631,0,28,6,0,0,0,35,0,700
2a,86,0,0,0,0,0,0,654,0,2,6,0,0,0,35,0,697
2a,87,0,24,0,0,0,0,602,0,28,29,0,0,0,9,0,692
2a,88,0,41,0,0,0,0,510,12,121,10,0,0,0,0,0,694
2a,89,0,68,18,1,0,0,408,24,176,0,0,0,0,0,0,695
2a,90,0,34,0,0,0,0,608,0,26,0,0,0,0,28,0,696
2a,91,0,15,0,0,0,0,620,0,8,0,0,0,0,47,0,690
2a,92,0,0,0,0,0,0,612,0,8,0,0,0,0,73,0,693
2a,93,0,0,0,0,0,0,651,0,0,0,0,0,0,44,0,695
2a,94,0,0,0,0,0,0,667,0,0,6,0,0,0,23,0,696
2a,95,0,0,0,0,0,0,678,0,4,6,0,0,0,8,0,696
2a,96,0,2,0,0,0,0,613,0,53,3,0,0,0,24,0,695
2a,97,0,64,0,0,0,0,448,13,144,0,0,4,0,17,0,690
2a,98,0,81,0,0,0,0,379,24,197,0,0,5,0,5,0,691
2a,99,0,124,54,13,0,0,327,24,153,0,0,0,0,0,0,695
