Liver,Season,Sex,Age,Flukepa,NoFlukes,Taeniapa,NoBladderworms,Coinfectedpa,DHA,DHA.code,Liver.mass,area.km2,ann.harvest,deer.den,elev,elev.var,wet.mean,open.mean,dev.mean,devtot,decid.mean,evmix.mean,foredge.mean,devlo.mean,devmh.mean,wet2.mean,evmix2.mean,decid2.mean,grasscrop2.mean,devo.mean,intensity.mean,PC1,PC2
L274,2018,M,2.5,1,5,0,0,0,1,a,1419,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.23744751,-1.35600385
L180,2017,F,fawn,1,1,0,0,0,2a,b,659,9.3254652,8.4,0.900759353,321.1835275,3665.574177,3.764835,4.378897,2.37574,6.754637,77.55499707,8.3014878,2.598137,1.568414,0.807326,3.118368,5.038035,76.7336,6.03951173,9.070487,39.466059,3.91987509,-1.665257709
L216,2017,na,na,1,34,0,0,0,2a,b,1158,9.3254652,8.4,0.900759353,321.1835275,3665.574177,3.764835,4.378897,2.37574,6.754637,77.55499707,8.3014878,2.598137,1.568414,0.807326,3.118368,5.038035,76.7336,6.03951173,9.070487,39.466059,3.906306793,-1.477868532
L235,2018,M,adult,1,4,0,0,0,2a,b,1416,9.3254652,8.4,0.900759353,321.1835275,3665.574177,3.764835,4.378897,2.37574,6.754637,77.55499707,8.3014878,2.598137,1.568414,0.807326,3.118368,5.038035,76.7336,6.03951173,9.070487,39.466059,3.899291521,-1.380981943
L272,2018,F,adult,0,0,0,0,0,2a,b,928,9.3254652,8.4,0.900759353,321.1835275,3665.574177,3.764835,4.378897,2.37574,6.754637,77.55499707,8.3014878,2.598137,1.568414,0.807326,3.118368,5.038035,76.7336,6.03951173,9.070487,39.466059,3.912560718,-1.564240297
L085,2015,na,na,1,9,1,3,1,2b,c,1376,0.6540899,3.2,4.892293857,192.4171315,32.35367754,34.54138,11.619137,21.8674397,33.4865767,16.43055437,14.2652297,1.139471,12.383172,9.4842677,16.97572,12.291894,35.39539,0.70485393,34.632147,57.362393,-1.371791899,0.123742743
L155,2016,F,adult,0,0,0,0,0,2b,c,1322,0.6540899,3.2,4.892293857,192.4171315,32.35367754,34.54138,11.619137,21.8674397,33.4865767,16.43055437,14.2652297,1.139471,12.383172,9.4842677,16.97572,12.291894,35.39539,0.70485393,34.632147,57.362393,-1.370323587,0.103464155
L057,2015,na,na,0,0,1,3,0,3a,d,1076,4.3100838,15.2,3.526613566,335.9750821,3978.938739,2.37512,8.677425,3.9076899,12.5851149,67.29134651,10.66659,6.917744,2.67518,1.2325099,4.880981,11.6355,69.10401,4.58331795,9.796186,45.79168,2.883865967,-1.751911522
L204,2017,na,na,0,0,0,0,0,4a,e,828,1.927659,7.4,3.838853241,250.1372835,1332.742925,0.6765398,13.483542,18.6051278,32.0886698,57.66601063,7.282026,2.162966,9.077369,9.5277588,2.415247,12.888941,47.55685,9.81860422,27.320354,57.899474,0.424470436,-1.104157999
L269,2018,na,na,1,1,0,0,0,4b,f,1406,1.0543842,10.4,9.863577243,290.5324587,392.0733138,0.2403711,15.773014,10.7228481,26.4958621,69.55402936,2.4861639,1.163767,6.106447,4.6164011,0.9914894,8.757402,54.86896,8.49573317,26.886412,51.032132,-0.325319902,0.056944513
L052,2015,na,na,0,0,0,0,0,5,g,757,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.815134976,1.233173918
L069,2015,F,adult,1,5,0,0,0,5,g,1052,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.807113638,1.343955095
L078,2015,F,adult,0,0,0,0,0,5,g,1854,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.785306475,1.645129684
L081,2015,na,na,0,0,0,0,0,5,g,842,4.5986158,8.6,1.870127963,379.2485549,536.0308021,15.58328,12.978078,7.3233649,20.3014429,60.00199832,3.311499,0.799003,4.67616,2.6472049,8.803994,8.965867,61.51099,1.48339251,19.235762,50.168747,0.812823743,1.265093918
