liver,season,DHA,Sex,Age,Age,weight,fluke.inf,no.fluke,no.caps,Fluke.sa,taenia.inf,no.taenia,no.bladder,Coinfected
L169,2017,17D,M,adult,adult,1101,1,1,0,3801.327111,0,0,0,0
L177,2017,NA,M,2.5,adult,1650,1,4,2,17686.18458,0,0,0,0
L183,2017,11,M,adult,adult,2231,1,16,5,103590.7301,0,0,0,0
L194,2017,3435 Riley Road,M,adult,adult,1307,1,1,0,2502.668734,0,0,0,0
L197,2017,17D,M,adult,adult,1186,0,0,0,0,0,0,0,0
L230,2018,13,M,2.5,adult,1040,1,1,0,3582.226156,0,0,0,0
L233,2018,13,M,adult,adult,1637,1,17,5,116661.474,0,0,0,0
L235,2018,2A,M,adult,adult,1416,1,4,2,22836.63818,0,0,0,0
L243,2018,NA,M,2,adult,1460,0,0,0,0,1,1,1,0
L252,2018,17D,M,adult,adult,1655,1,3,1,14956.53075,0,0,0,0
L263,2018,12B,M,adult,adult,1628,1,1,0,3761.680212,0,0,0,0
L274,2018,1,M,2.5,adult,1419,1,5,2,29279.76385,0,0,0,0
L275,2018,12B,M,3.5,adult,2380,1,2,1,3806.080341,0,0,0,0
L016,2014,NA,M,fawn,fawn,568,0,0,0,0,0,0,0,0
L111,2015,1,M,fawn,fawn,748,0,0,0,0,0,0,0,0
L130,2016,17D,M,fawn,fawn,832,0,0,0,0,0,0,0,0
L150,2016,13,M,fawn,fawn,846,0,0,0,0,0,0,0,0
L153,2016,1,M,fawn,fawn,682,0,0,0,0,0,0,0,0
L179,2017,6,M,fawn,fawn,657,0,0,0,0,0,0,0,0
L190,2017,1,M,fawn,fawn,562,0,0,0,0,0,0,0,0
L206,2017,17D,M,fawn,fawn,659,0,0,0,0,0,0,0,0
L210,2016,17D,M,fawn,fawn,933,0,0,0,0,0,0,0,0
L219,2017,notes,M,fawn,fawn,878,0,0,0,0,0,0,0,0
L221,2017,12B,M,fawn,fawn,581,0,0,0,0,0,0,0,0
L237,2018,notes,M,0.5,fawn,464,0,0,0,0,0,0,0,0
L242,2018,11,M,fawn,fawn,716,0,0,0,0,0,0,0,0
L246,2018,9A,M,fawn,fawn,1213,1,3,1,15945.64706,0,0,0,0
L258,2018,11,M,fawn,fawn,625,0,0,0,0,0,0,0,0
L259,2018,16B,M,fawn,fawn,599,0,0,0,0,0,0,0,0
L266,2018,17D,M,fawn,fawn,750,0,0,0,0,0,0,0,0
L270,2018,9A,M,fawn,fawn,905,0,0,0,0,0,0,0,0
L156,2016,NA,M,NA,NA,1105,0,0,0,0,0,0,0,0
L157,2016,NA,M,NA,NA,1644,1,19,9,133896.6807,0,0,0,0
L200,2016,16B,M,NA,NA,1407,0,0,0,0,1,1,1,0
